Aydarken city; info
Ai-Kul lake; info
Ak-Buura river; info
Aksu river; info
Aksu river; info
Ak-Suy district; info
Aksy district; info
Ak-Talinsky district; info
Ala Kol lake; info
Ala-Archa river; info
Alabuga river; info
Ala-Buki district; info
Alai district; info
Alamedin river; info
Alamudun district; info
Aravan district; info
Aspara river; info
Asy river; info
At-Bashi river; info
At-Bashinsky district; info
Bazar-Korgon district; info
Bakai-Ata district; info
Balykchy city; info
Batken city; info
Batken region; info
Batken district; info
Bishkek city; info
Hawasai river; info
Jalal-Abad city; info
Jalal-Abad region; info
Zhayyl district; info
Zheti-Oguz district; info
Zhumgal district; info
Issyk-Kul lake; info
Issyk-Kul region; info
Isfayramsay river; info
Isfana city; info
Isfara river; info
Kadamzhay city; info
Kadamzhay district; info
Kaindy city; info
Kal Suu lake; info
Kant city; info
Kara Suu lake; info
Kara Toko lake; info
Kara-Balta city; info
Kara-Buurinsky district; info
Karadarya river; info
Karakol city; info
Karakulbja river; info
Kara-Kul city; info
Kara-Kuldzhinsky district; info
Kara-Suu city; info
Kara-Suu district; info
Karkara river; info
Kasansai river; info
Kashgar river; info
Kogart river; info
Kökömern river; info
Kemin city; info
Keminsky district; info
Kerben city; info
Kok-Dzhangak city; info
Kochkor-Ata city; info
Kochkor district; info
Kulun lake; info
Kurshab river; info
Krzemysz river; info
Kyzyl-Kiya city; info
Kyzylsu river; info
Leilek district; info
Mailuu-Suu city; info
Mailuu-Suu river; info
Manas district; info
Merzbacher lake; info
Moscow region; info
Naryn city; info
Naryn river; info
Naryn region; info
Naryn district; info
Nookat city; info
Nookat district; info
Nooken district; info
Orlovka city; info
Osh city; info
Osh Oblast; info
Panfilov district; info
Sary Chelek lake; info
Sokuluk river; info
Sokuluk district; info
Salt lake; info
Son Kul lake; info
Sokh river; info
Suzak district; info
Sulukta city; info
Talas city; info
Talas river; info
Talas region; info
Talas district; info
Tar river; info
Taushkandarya river; info
Tash-Kumyr city; info
Tentyaksay river; info
Toguz-Torou district; info
Tokmok city; info
Toktogul city; info
Toktogul district; info
Ton district; info
Tyup district; info
Uzgen city; info
Uzgen district; info
Khojabakirgan river; info
Chatkal river; info
Chatkal district; info
Chatyr Kul lake; info
Cholpon Ata city; info
Chon-Alai district; info
Chong Kemin river; info
Chu river; info
Chuy region; info
Chuy district; info
Shopokov city; info
Issyk-Ata district; info
Issyk-Kul district; info
Iasi river; info 
